hijri_month,conj,date,country,city,state,atmosphere,sky,y_eye,y_bino,y_tele,y_ccd
31-11,2010-10-07 18:44:00,2010-10-08,Norway,Oslo,Oslo,hazy,totally cloudy,False,False,False,False
31-11,2010-10-07 18:44:00,2010-10-08,Oman,Muscat,Muscat,hazy,partly cloudy,False,False,False,False
31-11,2010-10-07 18:44:00,2010-10-08,Pakistan,karachi,sindh,hazy,clear,False,False,False,False
31-11,2010-10-07 18:44:00,2010-10-08,Saudi Arabia,Halat Ammar,Tabouk,superb,clear,False,False,False,False
31-11,2010-10-07 18:44:00,2010-10-08,South Africa,Cape Town,Western Province,hazy,partly cloudy,True,True,False,False
31-11,2010-10-07 18:44:00,2010-10-08,Tanzania,Dar es salaam,Tanzania,very hazy,clear,False,False,False,False
31-11,2010-10-07 18:44:00,2010-10-08,United Kingdom,York,North Yorkshire,very hazy,totally cloudy,False,False,False,False
31-11,2010-10-07 18:44:00,2010-10-08,United States,Blacksburg,Virginia,hazy,clear,False,True,False,False
31-11,2010-10-07 18:44:00,2010-10-08,United States,Clearwater,Florida,superb,clear,False,True,False,False
31-11,2010-10-07 18:44:00,2010-10-08,United States,McDonald Obs,Texas,superb,clear,True,True,False,False
31-11,2010-10-07 18:44:00,2010-10-09,Pakistan,karachi,sindh,very hazy,partly cloudy,False,False,False,False
31-11,2010-10-07 18:44:00,2010-10-09,United States,Blackburg,Virginia,hazy,partly cloudy,True,True,False,False
31-12,2010-11-06 04:52:00,2010-11-06,Malaysia,Tg Bidara,Melaka,clear,partly cloudy,False,False,False,False
31-12,2010-11-06 04:52:00,2010-11-06,Norway,Sandvika,Akershus,clear,clear,False,False,False,False
31-12,2010-11-06 04:52:00,2010-11-06,Pakistan,karachi,sindh,hazy,clear,False,False,False,False
31-12,2010-11-06 04:52:00,2010-11-06,Saudi Arabia,Jabal Khandamah,Makkah,very hazy,partly cloudy,False,False,False,False
31-12,2010-11-06 04:52:00,2010-11-06,Saudi Arabia,Riyadh,Riyadh,hazy,partly cloudy,False,False,False,False
31-12,2010-11-06 04:52:00,2010-11-06,South Africa,Cape Town,Western Province,superb,clear,False,False,False,False
31-12,2010-11-06 04:52:00,2010-11-06,Trinidad And Tobago,cunupia,none,hazy,partly cloudy,False,False,False,False
31-12,2010-11-06 04:52:00,2010-11-06,United Kingdom,York,North Yorkshire,clear,partly cloudy,False,False,False,False
31-12,2010-11-06 04:52:00,2010-11-06,United States,Blacksburg,VA,hazy,partly cloudy,False,False,False,False
31-12,2010-11-06 04:52:00,2010-11-07,Algeria,Ghardaia,Ghardaia,superb,partly cloudy,True,True,False,False
31-12,2010-11-06 04:52:00,2010-11-07,Australia,Sydney,NSW,clear,clear,True,False,False,False
31-12,2010-11-06 04:52:00,2010-11-07,Bangladesh,Dhaka,Bangladesh,superb,clear,True,False,False,False
31-12,2010-11-06 04:52:00,2010-11-07,Germany,Moerlenbach,Hessen,clear,totally cloudy,False,False,False,False
31-12,2010-11-06 04:52:00,2010-11-07,Ghana,Accra,Greater Region,hazy,partly cloudy,True,False,False,False
31-12,2010-11-06 04:52:00,2010-11-07,Iran,Esfahan,Esfahan,hazy,clear,True,True,False,False
31-12,2010-11-06 04:52:00,2010-11-07,Iraq,Mosul,Ninavah,clear,partly cloudy,True,False,False,False
31-12,2010-11-06 04:52:00,2010-11-07,Oman,Al-Fulaij,Muscat,hazy,partly cloudy,False,False,True,True
31-12,2010-11-06 04:52:00,2010-11-07,Pakistan,karachi,sindh,very hazy,clear,False,False,False,False
