hijri_month,conj,date,country,city,state,atmosphere,sky,y_eye,y_bino,y_tele,y_ccd
31-9,10/08/2010 03:08,10/08/2010,Qatar,Doha,Doha,clear,clear,FALSE,FALSE,FALSE,FALSE
31-9,10/08/2010 03:08,10/08/2010,Saudi Arabia,Halat Ammar,Tabouk,hazy,clear,FALSE,FALSE,FALSE,FALSE
31-9,10/08/2010 03:08,10/08/2010,Senegal,Dakar,Senega,hazy,partly cloudy,FALSE,FALSE,FALSE,FALSE
31-9,10/08/2010 03:08,10/08/2010,South Africa,Cape Town,Western Province,hazy,clear,FALSE,FALSE,FALSE,FALSE
31-9,10/08/2010 03:08,10/08/2010,United Kingdom,York,North Yorkshire,clear,clear,FALSE,FALSE,FALSE,FALSE
31-9,10/08/2010 03:08,10/08/2010,United States,Blacksburg,Virginia,very hazy,partly cloudy,FALSE,FALSE,FALSE,FALSE
31-9,10/08/2010 03:08,10/08/2010,United States,McDonald Obs,TX,clear,partly cloudy,FALSE,FALSE,FALSE,FALSE
31-9,10/08/2010 03:08,11/08/2010,Germany,Moerlenbach,Hessen,clear,totally cloudy,FALSE,FALSE,FALSE,FALSE
31-9,10/08/2010 03:08,11/08/2010,Iran,Esfahan,Esfahan,hazy,partly cloudy,FALSE,TRUE,FALSE,FALSE
31-9,10/08/2010 03:08,11/08/2010,Jordan,Amman,Amman,clear,clear,TRUE,TRUE,TRUE,FALSE
31-9,10/08/2010 03:08,11/08/2010,Pakistan,karachi,sindh,hazy,clear,FALSE,FALSE,FALSE,FALSE
31-9,10/08/2010 03:08,11/08/2010,Saudi Arabia,Halat Ammar,Tabouk,superb,partly cloudy,FALSE,TRUE,TRUE,FALSE
31-9,10/08/2010 03:08,11/08/2010,United States,Blacksburg,Virginia,hazy,totally cloudy,FALSE,FALSE,FALSE,FALSE
31-Oct,08/09/2010 10:30,08/09/2010,United States,Blacksburg,Virginia,hazy,partly cloudy,FALSE,FALSE,FALSE,FALSE
31-Oct,08/09/2010 10:30,09/09/2010,Australia,Brisbane,nsw,clear,partly cloudy,TRUE,FALSE,FALSE,FALSE
31-Oct,08/09/2010 10:30,09/09/2010,Bangladesh,Dhaka,Bangladesh,clear,partly cloudy,FALSE,FALSE,FALSE,FALSE
31-Oct,08/09/2010 10:30,09/09/2010,Ghana,Accra,Greater Accra,hazy,partly cloudy,TRUE,FALSE,FALSE,FALSE
31-Oct,08/09/2010 10:30,09/09/2010,Iran,Esfarjan,Esfahan,superb,clear,FALSE,TRUE,TRUE,FALSE
31-Oct,08/09/2010 10:30,09/09/2010,Iran,Betlijeh,Isfahan,hazy,partly cloudy,FALSE,TRUE,FALSE,FALSE
31-Oct,08/09/2010 10:30,09/09/2010,Jordan,Amman,Amman,hazy,clear,FALSE,FALSE,FALSE,FALSE
31-Oct,08/09/2010 10:30,09/09/2010,Libya,tripoli,na,hazy,totally cloudy,FALSE,FALSE,FALSE,FALSE
31-Oct,08/09/2010 10:30,09/09/2010,Nigeria,Ikorodu,Lagos,very hazy,totally cloudy,FALSE,FALSE,FALSE,FALSE
31-Oct,08/09/2010 10:30,09/09/2010,Nigeria,Ilorin,Kwara,very hazy,totally cloudy,FALSE,FALSE,FALSE,FALSE
31-Oct,08/09/2010 10:30,09/09/2010,Nigeria,KADUNA,KADUNA,clear,clear,TRUE,TRUE,FALSE,FALSE
31-Oct,08/09/2010 10:30,09/09/2010,Nigeria,Agege,Lagos,very hazy,totally cloudy,FALSE,FALSE,FALSE,FALSE
31-Oct,08/09/2010 10:30,09/09/2010,Pakistan,karachi,sindh,very hazy,partly cloudy,FALSE,FALSE,FALSE,FALSE
31-Oct,08/09/2010 10:30,09/09/2010,Philippines,Marawi City,Lanao del Sur,clear,clear,TRUE,FALSE,FALSE,FALSE
31-Oct,08/09/2010 10:30,09/09/2010,Senegal,Dakar,Senega,hazy,clear,TRUE,FALSE,FALSE,FALSE
